ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
CR-AA-02327	BC02	CR2327_2000nm	2000	TT20	2	224	50	18	125	3	28	0.558035714285714	0.223214285714286	2327
CR-AA-02332	BC05	CR2332_2000nm	2000	TT20	2	293	44	40	159	8	42	0.542662116040956	0.150170648464164	2332
CR-AA-02333	BC06	CR2333_2000nm	2000	TT20	2	134	23	14	80	1	16	0.597014925373134	0.171641791044776	2333
PBS	BC07	PBS_2000nm	2000	TT20	2	271	98	11	125	7	30	0.461254612546125	0.361623616236162	PBS
CR-EX-00001	BC08	EX-00001_2000nm	2000	TT20	2	120	29	14	66	1	10	0.55	0.241666666666667	EX-00001
CR-AA-02327	BC10	CR2327_200nm	200	TT20	2	249	80	20	117	3	29	0.469879518072289	0.321285140562249	2327
CR-AA-02331	BC12	CR2331_200nm	200	TT20	2	482	130	53	231	17	51	0.479253112033195	0.269709543568465	2331
CR-AA-02332	BC13	CR2332_200nm	200	TT20	2	467	88	61	256	11	51	0.548179871520343	0.188436830835118	2332
CR-AA-02333	BC14	CR2333_200nm	200	TT20	2	259	63	28	132	4	32	0.50965250965251	0.243243243243243	2333
PBS	BC15	PBS_200nm	200	TT20	2	644	219	45	293	15	72	0.454968944099379	0.340062111801242	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT20	2	606	197	66	256	17	70	0.422442244224422	0.325082508250825	EX-00001
CR-AA-02327	BC18	CR2327_20nm	20	TT20	2	1726	519	86	928	35	158	0.53765932792584	0.300695249130939	2327
CR-AA-02331	BC20	CR2331_20nm	20	TT20	2	202	74	11	99	8	10	0.49009900990099	0.366336633663366	2331
CR-AA-02332	BC21	CR2332_20nm	20	TT20	2	264	83	14	127	8	32	0.481060606060606	0.314393939393939	2332
CR-AA-02333	BC22	CR2333_20nm	20	TT20	2	476	132	30	246	11	57	0.516806722689076	0.277310924369748	2333
PBS	BC23	PBS_20nm	20	TT20	2	1877	589	126	894	51	217	0.476291955247736	0.313798614810868	PBS
CR-EX-00001	BC24	EX-00001_20nm	20	TT20	2	442	150	24	204	7	57	0.461538461538462	0.339366515837104	EX-00001
PBS	BC25	PBS_2nm	2	TT20	2	380	90	27	227	7	29	0.597368421052632	0.236842105263158	PBS
CR-AA-02327	BC26	CR2327_2nm	2	TT20	2	578	173	33	323	11	38	0.558823529411765	0.299307958477509	2327
CR-AA-02331	BC28	CR2331_2nm	2	TT20	2	430	116	29	227	13	45	0.527906976744186	0.269767441860465	2331
CR-AA-02332	BC29	CR2332_2nm	2	TT20	2	1116	317	84	590	20	105	0.528673835125448	0.28405017921147	2332
CR-AA-02333	BC30	CR2333_2nm	2	TT20	2	137	39	9	64	4	21	0.467153284671533	0.284671532846715	2333
PBS	BC31	PBS_2nm	2	TT20	2	611	205	29	269	25	83	0.440261865793781	0.335515548281506	PBS
CR-EX-00001	BC32	EX-00001_2nm	2	TT20	2	783	252	69	336	21	105	0.42911877394636	0.32183908045977	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT20	2	336	76	29	203	2	26	0.604166666666667	0.226190476190476	EX-00001
CR-AA-02327	BC35	CR2327_2000nm	2000	TT20	2	3415	750	245	2045	77	298	0.598828696925329	0.219619326500732	2327
CR-AA-02331	BC37	CR2331_2000nm	2000	TT20	2	226	36	27	134	10	19	0.592920353982301	0.15929203539823	2331
CR-AA-02332	BC38	CR2332_2000nm	2000	TT20	2	238	40	19	137	6	36	0.57563025210084	0.168067226890756	2332
CR-AA-02333	BC39	CR2333_2000nm	2000	TT20	2	686	101	116	372	15	82	0.542274052478134	0.147230320699708	2333
CR-EX-00001	BC41	EX-00001_200nm	200	TT20	2	279	96	23	131	7	22	0.469534050179211	0.344086021505376	EX-00001
CR-AA-02327	BC43	CR2327_200nm	200	TT20	2	1675	408	173	849	40	205	0.506865671641791	0.243582089552239	2327
CR-AA-02331	BC45	CR2331_200nm	200	TT20	2	415	104	50	207	12	42	0.498795180722892	0.250602409638554	2331
CR-AA-02332	BC46	CR2332_200nm	200	TT20	2	259	65	24	130	6	34	0.501930501930502	0.250965250965251	2332
CR-AA-02333	BC47	CR2333_200nm	200	TT20	2	552	112	95	273	13	59	0.494565217391304	0.202898550724638	2333
CR-EX-00001	BC49	EX-00001_20nm	20	TT20	2	311	88	33	152	8	30	0.488745980707395	0.282958199356913	EX-00001
CR-AA-02327	BC51	CR2327_20nm	20	TT20	2	506	152	44	248	12	50	0.490118577075099	0.300395256916996	2327
CR-AA-02331	BC53	CR2331_20nm	20	TT20	2	455	61	90	243	17	44	0.534065934065934	0.134065934065934	2331
CR-AA-02332	BC54	CR2332_20nm	20	TT20	2	1223	366	119	560	32	146	0.457890433360589	0.29926410466067	2332
CR-AA-02333	BC55	CR2333_20nm	20	TT20	2	779	224	100	338	27	90	0.433889602053915	0.287548138639281	2333
CR-AA-02327	BC59	CR2327_2nm	2	TT20	2	655	190	67	319	11	68	0.487022900763359	0.290076335877863	2327
CR-AA-02331	BC61	CR2331_2nm	2	TT20	2	991	268	91	485	23	124	0.489404641775984	0.270433905146317	2331
CR-AA-02332	BC62	CR2332_2nm	2	TT20	2	819	243	73	386	23	94	0.471306471306471	0.296703296703297	2332
CR-AA-02333	BC63	CR2333_2nm	2	TT20	2	375	111	52	161	7	44	0.429333333333333	0.296	2333
PBS	BC01	PBS_2000nm_1	2000	TT21	1	4351	1293	217	2053	105	683	0.471845552746495	0.297173063663526	PBS
CR-AA-02327	BC02	CR2327_2000nm_1	2000	TT21	1	1820	281	95	1070	31	343	0.587912087912088	0.154395604395604	2327
CR-AA-02331	BC04	CR2331_2000nm_1	2000	TT21	1	269	49	15	159	2	44	0.591078066914498	0.182156133828996	2331
CR-AA-02332	BC05	CR2332_2000nm_1	2000	TT21	1	2181	264	155	1330	15	417	0.609812012838148	0.121045392022008	2332
CR-AA-02333	BC06	CR2333_2000nm_1	2000	TT21	1	740	80	37	471	6	146	0.636486486486487	0.108108108108108	2333
PBS	BC07	PBS_2000nm_2	2000	TT21	1	930	264	59	429	24	154	0.461290322580645	0.283870967741935	PBS
CR-EX-00001	BC08	EX-00001_2000nm_1	2000	TT21	1	712	210	30	364	17	91	0.51123595505618	0.294943820224719	EX-00001
PBS	BC09	PBS_200nm_1	200	TT21	1	1544	460	52	815	40	177	0.527849740932642	0.297927461139896	PBS
CR-AA-02327	BC10	CR2327_200nm_1	200	TT21	1	1095	162	48	728	7	150	0.664840182648402	0.147945205479452	2327
CR-AA-02331	BC12	CR2331_200nm_1	200	TT21	1	2133	413	111	1293	36	280	0.606188466947961	0.193624003750586	2331
CR-AA-02332	BC13	CR2332_200nm_1	200	TT21	1	3903	629	163	2505	48	558	0.641813989239047	0.161158083525493	2332
CR-AA-02333	BC14	CR2333_200nm_1	200	TT21	1	2123	361	114	1289	26	333	0.60715967969854	0.17004239284032	2333
PBS	BC15	PBS_200nm_2	200	TT21	1	1958	560	118	949	62	269	0.484678243105209	0.286006128702758	PBS
CR-EX-00001	BC16	EX-00001_200nm_1	200	TT21	1	2012	658	62	983	44	265	0.488568588469185	0.327037773359841	EX-00001
PBS	BC17	PBS_20nm_1	20	TT21	1	3640	1016	117	1965	83	459	0.539835164835165	0.279120879120879	PBS
